Database,Workload,Record_counts,Operation_counts,Threads,Run_Time_ms,Throughput_ops/sec,Ave_Latency_Cleanup_us,Min_Latency_Cleanup_us,Max_Latency_Cleanup_us,Ave_Latency_Insert_us,Min_Latency_Insert_us,Max_Latency_Insert_us
MongoDB,a,1000,1000,1,1139,878,1482,1482,1482,696,206,46015
MongoDB,a,1000,500,1,1101,908,2573,2572,2573,653,200,50463
MongoDB,a,1000,2500,1,1131,884,1700,1700,1700,696,240,49279
MongoDB,a,1000,5000,1,1133,883,1974,1974,1974,696,224,63615
MongoDB,a,500,1000,1,936,534,2383,2382,2383,939,285,43935
MongoDB,a,2500,1000,1,1609,1554,1843,1843,1843,458,129,43935
MongoDB,a,5000,1000,1,2464,2029,1525,1525,1525,393,106,41823
MongoDB,a,1000,1000,2,884,1131,1281,5,2557,933,140,44223
MongoDB,a,1000,1000,4,774,1292,532,0,2123,1363,240,49151
MongoDB,a,1000,1000,8,733,1364,306,0,2439,2317,301,66111
MongoDB,b,1000,1000,1,1078,928,2040,2040,2040,623,171,39967
MongoDB,b,1000,500,1,1167,857,2933,2932,2933,711,241,39167
MongoDB,b,1000,2500,1,1159,863,1518,1518,1518,715,227,46207
MongoDB,b,1000,5000,1,1237,808,1837,1837,1837,758,220,49759
MongoDB,b,500,1000,1,813,615,1348,1348,1348,778,258,45823
MongoDB,b,2500,1000,1,1564,1598,2249,2248,2249,443,129,50175
MongoDB,b,5000,1000,1,1996,2505,2439,2438,2439,302,105,52831
MongoDB,b,1000,1000,2,915,1093,648,5,1290,960,222,47999
MongoDB,b,1000,1000,4,784,1276,539,1,2151,1460,200,54047
MongoDB,b,1000,1000,8,746,1340,384,0,3067,2372,326,67455
MongoDB,c,1000,1000,1,1036,965,2093,2092,2093,611,199,48415
MongoDB,c,1000,500,1,1022,978,2911,2910,2911,579,177,41983
MongoDB,c,1000,2500,1,1116,896,1491,1491,1491,673,175,45375
MongoDB,c,1000,5000,1,1082,924,1335,1335,1335,643,228,44415
MongoDB,c,500,1000,1,824,607,1631,1631,1631,822,303,41631
MongoDB,c,2500,1000,1,1643,1522,2659,2658,2659,472,130,48959
MongoDB,c,5000,1000,1,2265,2208,1502,1502,1502,353,113,42015
MongoDB,c,1000,1000,2,828,1208,1603,4,2121,810,152,47839
MongoDB,c,1000,1000,4,774,1292,702,0,2801,1403,225,52319
MongoDB,c,1000,1000,8,761,1314,486,0,3879,2549,333,70335
MongoDB,d,1000,1000,1,1098,911,1946,1946,1946,667,182,40351
MongoDB,d,1000,500,1,1125,889,1782,1782,1782,695,229,46719
MongoDB,d,1000,2500,1,1117,896,1511,1511,1511,690,234,43807
MongoDB,d,1000,5000,1,1112,899,1697,1697,1697,672,204,43551
MongoDB,d,500,1000,1,812,616,1381,1381,1381,800,301,45695
MongoDB,d,2500,1000,1,1509,1657,1874,1874,1874,419,112,50783
MongoDB,d,5000,1000,1,2608,1866,2018,2018,2018,434,109,49951
MongoDB,d,1000,1000,2,819,1221,877,5,1749,778,146,47775
MongoDB,d,1000,1000,4,779,1284,479,1,1909,1443,279,52351
MongoDB,d,1000,1000,8,763,1311,339,0,2707,2575,344,84031
MongoDB,e,1000,1000,1,1076,929,1749,1749,1749,647,173,43871
MongoDB,e,1000,500,1,1168,856,2109,2108,2109,739,163,44543
MongoDB,e,1000,2500,1,1226,816,1268,1268,1268,767,259,51327
MongoDB,e,1000,5000,1,1091,917,1511,1511,1511,660,226,51583
MongoDB,e,500,1000,1,820,610,1622,1622,1622,784,311,45631
MongoDB,e,2500,1000,1,1585,1577,1516,1516,1516,451,140,46399
MongoDB,e,5000,1000,1,2353,2125,2401,2400,2401,370,110,45375
MongoDB,e,1000,1000,2,830,1205,1455,5,2905,820,147,59743
MongoDB,e,1000,1000,4,775,1290,584,1,2329,1436,257,52543
MongoDB,e,1000,1000,8,715,1399,313,0,2499,2245,268,60575
MongoDB,f,1000,1000,1,1076,929,2006,2006,2006,623,209,40671
MongoDB,f,1000,500,1,1098,911,1921,1921,1921,661,249,46271
MongoDB,f,1000,2500,1,1102,907,2043,2043,2043,663,211,53087
MongoDB,f,1000,5000,1,1115,897,1552,1552,1552,662,169,48063
MongoDB,f,500,1000,1,882,608,1545,1545,1545,771,298,42591
MongoDB,f,2500,1000,1,1584,1578,2141,2140,2141,447,131,42175
MongoDB,f,5000,1000,1,2032,2461,2169,2168,2169,310,101,61695
MongoDB,f,1000,1000,2,887,1127,930,5,1855,913,144,53439
MongoDB,f,1000,1000,4,779,1284,441,1,1760,1460,215,56287
MongoDB,f,1000,1000,8,750,1333,1102,1,8807,2459,329,55167
MySQL,a,1000,1000,1,16254,62,1553,1553,1553,15672,10576,88575
MySQL,a,1000,500,1,15037,67,1635,1635,1635,14424,10192,42751
MySQL,a,1000,2500,1,16068,63,1396,1396,1396,15419,10416,55935
MySQL,a,1000,5000,1,15796,63,1723,1723,1723,15194,9000,58399
MySQL,a,500,1000,1,7607,66,1617,1617,1617,14079,9344,39615
MySQL,a,2500,1000,1,38402,65,2325,2324,2325,15091,9904,49375
MySQL,a,5000,1000,1,73527,68,1702,1702,1702,14567,10120,71679
